,rv_dt,value,category,rv_seen
117,2022-04-28,85.8,Non Open Resolvers,3341520
118,2022-04-29,85.14,Non Open Resolvers,3244096
119,2022-04-30,85.0,Non Open Resolvers,3549726
120,2022-05-01,85.74,Non Open Resolvers,3452362
121,2022-05-02,84.83,Non Open Resolvers,3563310
122,2022-05-03,85.22,Non Open Resolvers,3749132
123,2022-05-04,85.19,Non Open Resolvers,3506413
124,2022-05-05,86.12,Non Open Resolvers,3439751
125,2022-05-06,86.83,Non Open Resolvers,3509281
126,2022-05-07,86.81,Non Open Resolvers,3430017
127,2022-05-08,87.63,Non Open Resolvers,3447076
128,2022-05-09,86.63,Non Open Resolvers,3558622
129,2022-05-10,86.3,Non Open Resolvers,3540257
130,2022-05-12,85.72,Non Open Resolvers,3918124
131,2022-05-13,85.37,Non Open Resolvers,3452896
132,2022-05-14,85.46,Non Open Resolvers,3411438
133,2022-05-15,86.33,Non Open Resolvers,3456624
134,2022-05-16,85.8,Non Open Resolvers,3598677
135,2022-05-17,85.51,Non Open Resolvers,3626180
136,2022-05-18,85.02,Non Open Resolvers,3277896
137,2022-05-19,84.38,Non Open Resolvers,2999573
138,2022-05-20,84.62,Non Open Resolvers,2852581
139,2022-05-21,85.03,Non Open Resolvers,2853226
140,2022-05-22,85.18,Non Open Resolvers,2806131
141,2022-05-23,84.14,Non Open Resolvers,3056473
142,2022-05-24,84.91,Non Open Resolvers,3206139
143,2022-05-25,84.97,Non Open Resolvers,3153244
144,2022-05-26,84.44,Non Open Resolvers,3082902
145,2022-05-27,84.64,Non Open Resolvers,3095509
146,2022-05-28,84.74,Non Open Resolvers,3079421
147,2022-05-29,85.26,Non Open Resolvers,2970124
148,2022-05-30,84.43,Non Open Resolvers,3132567
149,2022-05-31,84.65,Non Open Resolvers,3150235
150,2022-06-01,84.87,Non Open Resolvers,3206685
151,2022-06-02,84.75,Non Open Resolvers,3222050
152,2022-06-03,84.63,Non Open Resolvers,3095332
153,2022-06-04,84.62,Non Open Resolvers,3270711
154,2022-06-05,84.59,Non Open Resolvers,3189089
155,2022-06-06,83.62,Non Open Resolvers,3351078
156,2022-06-07,84.03,Non Open Resolvers,3317654
157,2022-06-08,83.86,Non Open Resolvers,3307124
158,2022-06-09,84.22,Non Open Resolvers,3168375
159,2022-06-10,84.04,Non Open Resolvers,3164536
160,2022-06-11,84.24,Non Open Resolvers,3025253
161,2022-06-12,84.81,Non Open Resolvers,3149432
162,2022-06-13,83.99,Non Open Resolvers,3377360
163,2022-06-14,84.25,Non Open Resolvers,3319190
164,2022-06-15,83.44,Non Open Resolvers,3383485
165,2022-06-16,83.67,Non Open Resolvers,3274083
166,2022-06-17,84.1,Non Open Resolvers,3193037
167,2022-06-18,83.96,Non Open Resolvers,3192664
168,2022-06-19,84.37,Non Open Resolvers,3204520
169,2022-06-20,83.89,Non Open Resolvers,3399872
170,2022-06-21,83.57,Non Open Resolvers,3399233
171,2022-06-22,83.48,Non Open Resolvers,3299131
172,2022-06-23,83.29,Non Open Resolvers,3300057
173,2022-06-24,83.47,Non Open Resolvers,3271492
174,2022-06-25,83.31,Non Open Resolvers,3314319
175,2022-06-26,84.31,Non Open Resolvers,3256205
176,2022-06-27,83.77,Non Open Resolvers,3308846
177,2022-06-28,83.59,Non Open Resolvers,3354992
178,2022-06-29,82.9,Non Open Resolvers,3335590
179,2022-06-30,83.01,Non Open Resolvers,3305567
180,2022-07-01,82.98,Non Open Resolvers,3228915
181,2022-07-02,83.68,Non Open Resolvers,3275349
182,2022-07-03,84.22,Non Open Resolvers,3291975
183,2022-07-04,83.86,Non Open Resolvers,3349229
184,2022-07-05,83.33,Non Open Resolvers,3334196
185,2022-07-06,83.39,Non Open Resolvers,3403369
186,2022-07-07,83.64,Non Open Resolvers,3388500
187,2022-07-08,83.23,Non Open Resolvers,3277103
188,2022-07-09,83.55,Non Open Resolvers,3316602
189,2022-07-10,84.3,Non Open Resolvers,3400480
190,2022-07-11,83.87,Non Open Resolvers,3575380
191,2022-07-12,83.96,Non Open Resolvers,3553147
192,2022-07-13,83.78,Non Open Resolvers,3516577
193,2022-07-14,83.85,Non Open Resolvers,3524839
194,2022-07-15,83.69,Non Open Resolvers,3354109
195,2022-07-16,83.69,Non Open Resolvers,3322115
196,2022-07-17,84.35,Non Open Resolvers,3312413
197,2022-07-18,83.45,Non Open Resolvers,3511380
198,2022-07-19,83.77,Non Open Resolvers,3430099
199,2022-07-20,83.95,Non Open Resolvers,3417390
200,2022-07-21,83.93,Non Open Resolvers,3323135
201,2022-07-22,84.32,Non Open Resolvers,3277459
202,2022-07-23,84.42,Non Open Resolvers,3093424
203,2022-07-24,84.83,Non Open Resolvers,3027800
204,2022-07-25,84.16,Non Open Resolvers,3472436
205,2022-07-26,84.32,Non Open Resolvers,4029097
206,2022-07-27,82.42,Non Open Resolvers,4772215
207,2022-07-28,84.48,Non Open Resolvers,5234114
208,2022-07-29,84.81,Non Open Resolvers,5189230
209,2022-07-30,85.37,Non Open Resolvers,4820083
210,2022-07-31,85.56,Non Open Resolvers,4593311
211,2022-08-01,84.7,Non Open Resolvers,4820764
212,2022-08-02,84.55,Non Open Resolvers,5202509
213,2022-08-03,84.35,Non Open Resolvers,5070726
214,2022-08-04,84.38,Non Open Resolvers,5110767
215,2022-08-05,84.7,Non Open Resolvers,5096561
216,2022-08-06,85.19,Non Open Resolvers,4989773
217,2022-08-07,85.63,Non Open Resolvers,5131336
218,2022-08-08,84.32,Non Open Resolvers,5447026
219,2022-08-09,84.57,Non Open Resolvers,5354555
220,2022-08-10,84.66,Non Open Resolvers,5252882
221,2022-08-11,85.52,Non Open Resolvers,5343797
222,2022-08-12,85.42,Non Open Resolvers,5454851
223,2022-08-13,85.11,Non Open Resolvers,5241639
224,2022-08-14,85.74,Non Open Resolvers,5098032
225,2022-08-15,85.94,Non Open Resolvers,5296709
226,2022-08-16,84.8,Non Open Resolvers,5305154
227,2022-08-17,84.7,Non Open Resolvers,5241628
228,2022-08-18,84.7,Non Open Resolvers,5480129
229,2022-08-19,84.34,Non Open Resolvers,5201579
230,2022-08-20,84.2,Non Open Resolvers,5205374
231,2022-08-21,84.84,Non Open Resolvers,4878362
232,2022-08-22,84.7,Non Open Resolvers,5038801
233,2022-08-23,84.18,Non Open Resolvers,5109500
234,2022-08-24,84.07,Non Open Resolvers,5236440
235,2022-08-25,84.31,Non Open Resolvers,5340692
236,2022-08-26,84.55,Non Open Resolvers,5302826
237,2022-08-27,85.21,Non Open Resolvers,5128541
238,2022-08-28,85.41,Non Open Resolvers,5005167
239,2022-08-29,84.93,Non Open Resolvers,5177715
240,2022-08-30,85.11,Non Open Resolvers,5170540
241,2022-08-31,86.23,Non Open Resolvers,4953424
242,2022-09-01,84.74,Non Open Resolvers,5168753
243,2022-09-02,84.83,Non Open Resolvers,5369788
244,2022-09-03,85.23,Non Open Resolvers,5375107
245,2022-09-04,85.81,Non Open Resolvers,5208599
246,2022-09-05,85.15,Non Open Resolvers,5710056
247,2022-09-06,85.5,Non Open Resolvers,5600295
248,2022-09-07,85.01,Non Open Resolvers,5381119
249,2022-09-08,84.8,Non Open Resolvers,5240367
250,2022-09-09,84.59,Non Open Resolvers,5209091
251,2022-09-10,84.71,Non Open Resolvers,5230130
252,2022-09-11,85.35,Non Open Resolvers,5243110
253,2022-09-12,84.47,Non Open Resolvers,5412837
254,2022-09-13,83.51,Non Open Resolvers,5502708
255,2022-09-14,83.44,Non Open Resolvers,5374033
256,2022-09-15,83.77,Non Open Resolvers,5478952
257,2022-09-16,83.09,Non Open Resolvers,5102445
258,2022-09-17,84.38,Non Open Resolvers,4988700
259,2022-09-18,84.35,Non Open Resolvers,4939722
260,2022-09-19,83.85,Non Open Resolvers,4937192
261,2022-09-20,83.95,Non Open Resolvers,4793462
262,2022-09-21,84.59,Non Open Resolvers,5015111
263,2022-09-22,84.21,Non Open Resolvers,4561321
264,2022-09-23,84.5,Non Open Resolvers,4256224
265,2022-09-24,84.25,Non Open Resolvers,4324423
266,2022-09-25,85.56,Non Open Resolvers,4499908
267,2022-09-26,85.02,Non Open Resolvers,4617663
268,2022-09-27,84.42,Non Open Resolvers,4371605
269,2022-09-28,85.23,Non Open Resolvers,4456823
270,2022-09-29,85.07,Non Open Resolvers,4408732
271,2022-09-30,85.6,Non Open Resolvers,4071888
272,2022-10-01,85.72,Non Open Resolvers,3835872
273,2022-10-02,86.21,Non Open Resolvers,3894312
274,2022-10-03,85.53,Non Open Resolvers,4216411
275,2022-10-04,85.96,Non Open Resolvers,4257424
276,2022-10-05,86.02,Non Open Resolvers,4142393
277,2022-10-06,85.39,Non Open Resolvers,4237558
278,2022-10-07,85.55,Non Open Resolvers,4278093
279,2022-10-08,85.29,Non Open Resolvers,4009396
280,2022-10-09,85.75,Non Open Resolvers,3947944
281,2022-10-10,84.88,Non Open Resolvers,4021503
